20
1 2 81.0
1 3 84.0
1 4 44.0
1 5 38.0
1 6 76.0
1 7 14.0
1 8 40.0
1 9 54.0
1 10 47.0
1 11 29.0
1 12 99.0
1 13 22.0
1 14 97.0
1 15 42.0
1 16 95.0
1 17 97.0
1 18 65.0
1 19 77.0
1 20 92.0
2 3 83.0
2 4 73.0
2 5 49.0
2 6 98.0
2 7 47.0
2 8 47.0
2 9 45.0
2 10 47.0
2 11 31.0
2 12 32.0
2 13 91.0
2 14 42.0
2 15 98.0
2 16 55.0
2 17 19.0
2 18 28.0
2 19 10.0
2 20 79.0
3 4 90.0
3 5 74.0
3 6 49.0
3 7 15.0
3 8 89.0
3 9 21.0
3 10 43.0
3 11 16.0
3 12 87.0
3 13 61.0
3 14 98.0
3 15 37.0
3 16 30.0
3 17 77.0
3 18 18.0
3 19 81.0
3 20 78.0
4 5 46.0
4 6 94.0
4 7 95.0
4 8 44.0
4 9 60.0
4 10 21.0
4 11 35.0
4 12 38.0
4 13 1.0
4 14 59.0
4 15 72.0
4 16 34.0
4 17 67.0
4 18 34.0
4 19 39.0
4 20 19.0
5 6 15.0
5 7 2.0
5 8 44.0
5 9 42.0
5 10 20.0
5 11 56.0
5 12 94.0
5 13 62.0
5 14 78.0
5 15 7.0
5 16 4.0
5 17 71.0
5 18 57.0
5 19 11.0
5 20 81.0
6 7 80.0
6 8 32.0
6 9 64.0
6 10 30.0
6 11 94.0
6 12 55.0
6 13 41.0
6 14 61.0
6 15 80.0
6 16 7.0
6 17 69.0
6 18 38.0
6 19 93.0
6 20 60.0
7 8 28.0
7 9 68.0
7 10 38.0
7 11 75.0
7 12 8.0
7 13 82.0
7 14 11.0
7 15 28.0
7 16 62.0
7 17 97.0
7 18 64.0
7 19 83.0
7 20 16.0
8 9 97.0
8 10 79.0
8 11 85.0
8 12 56.0
8 13 54.0
8 14 93.0
8 15 25.0
8 16 68.0
8 17 94.0
8 18 78.0
8 19 62.0
8 20 93.0
9 10 28.0
9 11 5.0
9 12 1.0
9 13 40.0
9 14 51.0
9 15 35.0
9 16 67.0
9 17 31.0
9 18 16.0
9 19 48.0
9 20 64.0
10 11 43.0
10 12 58.0
10 13 44.0
10 14 100.0
10 15 14.0
10 16 92.0
10 17 41.0
10 18 23.0
10 19 36.0
10 20 13.0
11 12 16.0
11 13 22.0
11 14 74.0
11 15 1.0
11 16 57.0
11 17 89.0
11 18 57.0
11 19 75.0
11 20 39.0
12 13 26.0
12 14 5.0
12 15 37.0
12 16 11.0
12 17 73.0
12 18 26.0
12 19 25.0
12 20 30.0
13 14 87.0
13 15 40.0
13 16 22.0
13 17 29.0
13 18 56.0
13 19 11.0
13 20 84.0
14 15 16.0
14 16 79.0
14 17 89.0
14 18 93.0
14 19 53.0
14 20 6.0
15 16 75.0
15 17 95.0
15 18 60.0
15 19 84.0
15 20 2.0
16 17 74.0
16 18 8.0
16 19 15.0
16 20 32.0
17 18 69.0
17 19 32.0
17 20 36.0
18 19 48.0
18 20 85.0
19 20 37.0
