13
1 2 16.0
1 3 67.0
1 4 64.0
1 5 41.0
1 6 98.0
1 7 85.0
1 8 22.0
1 9 56.0
1 10 61.0
1 11 34.0
1 12 67.0
1 13 60.0
2 3 62.0
2 4 75.0
2 5 51.0
2 6 46.0
2 7 99.0
2 8 68.0
2 9 2.0
2 10 73.0
2 11 92.0
2 12 70.0
2 13 68.0
3 4 59.0
3 5 25.0
3 6 74.0
3 7 64.0
3 8 40.0
3 9 72.0
3 10 4.0
3 11 99.0
3 12 75.0
3 13 70.0
4 5 22.0
4 6 55.0
4 7 16.0
4 8 72.0
4 9 69.0
4 10 93.0
4 11 80.0
4 12 14.0
4 13 39.0
5 6 80.0
5 7 97.0
5 8 94.0
5 9 55.0
5 10 81.0
5 11 68.0
5 12 51.0
5 13 40.0
6 7 11.0
6 8 36.0
6 9 11.0
6 10 39.0
6 11 65.0
6 12 34.0
6 13 54.0
7 8 31.0
7 9 86.0
7 10 66.0
7 11 97.0
7 12 23.0
7 13 17.0
8 9 95.0
8 10 82.0
8 11 22.0
8 12 83.0
8 13 88.0
9 10 78.0
9 11 20.0
9 12 40.0
9 13 7.0
10 11 12.0
10 12 52.0
10 13 75.0
11 12 89.0
11 13 12.0
12 13 29.0
