12
1 2 33.0
1 3 22.0
1 4 97.0
1 5 21.0
1 6 93.0
1 7 55.0
1 8 67.0
1 9 74.0
1 10 10.0
1 11 13.0
1 12 35.0
2 3 79.0
2 4 35.0
2 5 99.0
2 6 88.0
2 7 12.0
2 8 25.0
2 9 81.0
2 10 88.0
2 11 24.0
2 12 68.0
3 4 35.0
3 5 97.0
3 6 7.0
3 7 26.0
3 8 38.0
3 9 90.0
3 10 3.0
3 11 26.0
3 12 36.0
4 5 95.0
4 6 88.0
4 7 88.0
4 8 92.0
4 9 51.0
4 10 45.0
4 11 16.0
4 12 57.0
5 6 81.0
5 7 64.0
5 8 39.0
5 9 35.0
5 10 97.0
5 11 90.0
5 12 91.0
6 7 65.0
6 8 57.0
6 9 31.0
6 10 90.0
6 11 9.0
6 12 61.0
7 8 84.0
7 9 99.0
7 10 96.0
7 11 20.0
7 12 65.0
8 9 98.0
8 10 45.0
8 11 86.0
8 12 90.0
9 10 91.0
9 11 51.0
9 12 70.0
10 11 3.0
10 12 99.0
11 12 66.0
