11
1 2 18.0
1 3 17.0
1 4 83.0
1 5 26.0
1 6 73.0
1 7 12.0
1 8 3.0
1 9 27.0
1 10 15.0
1 11 77.0
2 3 95.0
2 4 41.0
2 5 67.0
2 6 100.0
2 7 46.0
2 8 47.0
2 9 43.0
2 10 61.0
2 11 7.0
3 4 20.0
3 5 43.0
3 6 74.0
3 7 4.0
3 8 86.0
3 9 69.0
3 10 34.0
3 11 65.0
4 5 89.0
4 6 74.0
4 7 36.0
4 8 77.0
4 9 88.0
4 10 60.0
4 11 47.0
5 6 32.0
5 7 6.0
5 8 16.0
5 9 87.0
5 10 26.0
5 11 55.0
6 7 38.0
6 8 37.0
6 9 47.0
6 10 93.0
6 11 37.0
7 8 10.0
7 9 11.0
7 10 86.0
7 11 82.0
8 9 6.0
8 10 48.0
8 11 27.0
9 10 82.0
9 11 17.0
10 11 40.0
